countries,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Bhutan,508400,524327,540570,557002,573592,589295,599789,577779,554679,554510,547996,548792,558699,569438,582590,596870,610803,624417,637669,650558,661872,670800,678643,686359,693995,701639,709387,717288,725283,733151,740624,747878,754343,759767,764829,770014,775451
Bolivia,6416194,6552481,6692169,6835508,6981771,7130142,7280293,7430337,7579196,7727321,7874676,8021742,8167910,8313399,8459812,8606331,8752740,8900357,9050704,9204297,9360758,9521685,9685962,9850858,10016280,10182345,10348932,10515813,10682612,10848889,11014707,11180019,11344592,11508370,11671386,11816300,11937369
Bosnia and Herzegovina,,,,,,,,4234620,3904484,3725411,3715565,3875246,4018228,4089357,4130312,4159785,4179446,4188007,4178524,4140990,4096494,4063271,4013421,3947546,3879798,3811480,3741800,3670108,3610858,3564831,3518541,3472997,3428684,3386999,3345534,3299352,3244909
Botswana,1121954,1160655,1199181,1235487,1270281,1305699,1341767,1380038,1420120,1460030,1498843,1535918,1571699,1606906,1642006,1677384,1712264,1744765,1775743,1807153,1839881,1874527,1911202,1949972,1990671,2033110,2073537,2108614,2140687,2172052,2203276,2234783,2266748,2299148,2332081,2365895,2401449
Brazil,415018,415018,415018,415018,415018,415018,415018,415018,415018,415018,415018,415018,415018,415018,415018,415018,415018,415018,415018,415018,415018,415018,188552310,190367297,192079956,193701931,195284736,196876114,198478291,200085126,201675534,203218108,204703440,206107265,207455459,208660845,209550291
British Virgin Islands,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083
Brunei,218928,226510,233876,240926,248077,255306,262603,269848,276979,284097,291207,298283,305357,312398,319412,326428,333353,340108,346649,352921,358930,364669,370884,377800,384964,392340,399395,405566,411206,416754,422224,427573,432788,437813,442687,447412,451723
Bulgaria,8958852,8963472,8976205,8985725,8936388,8822365,8695799,8559091,8466532,8416925,8357576,8291403,8217101,8138192,8067463,8000519,7928456,7861949,7804406,7749431,7695047,7640290,7586895,7535590,7488018,7437594,7380021,7317021,7264606,7223451,7177516,7127436,7075639,7024746,6975467,6933654,6877222
Burkina Faso,7999933,8228848,8457114,8687441,8921176,9159359,9394631,9629280,9871716,10123807,10386724,10655942,10934224,11240668,11574930,11925548,12294996,12680901,13082531,13500537,13932127,14373711,14816312,15258103,15710065,16176504,16661907,17172283,17695412,18229466,18777488,19334854,19894413,20438288,20961954,21478692,21995249
Burundi,5034044,5129423,5247791,5365332,5471704,5587053,5703861,5858404,5676848,5713858,6066321,6070509,6070038,6187113,6337155,6470196,6634368,6824140,7043158,7310656,7587304,7865546,8161879,8505644,8947653,9376447,9717980,10071034,10439345,10799790,11047580,11239458,11506765,11859444,12255339,12617042,12965487
Cambodia,10453,10453,10453,10453,10453,10453,10453,10453,10453,10453,10453,10453,10453,10453,10453,10453,10453,12855249,13050978,13244739,13439204,13639030,13841775,14053479,14276819,14500732,14722587,14945090,15170212,15396771,15623253,15852802,16073374,16274521,16481304,16725482,16974308
Cameroon,9761726,10060342,10370753,10684973,11002748,11331825,11667184,12006362,12353131,12704899,13058518,13414762,13775217,14144859,14525145,14912633,15309490,15725534,16160340,16610487,17074598,17550402,18049895,18574054,19113979,19668064,20232312,20809531,21402379,22059894,22763419,23454167,24128608,24806379,25506096,26210566,26915764
Canada,25927463,26211035,26540914,26927938,27366047,27789436,28157153,28500065,28830635,29147382,29459136,29767210,30059087,30329968,30599458,30891800,31213577,31535580,31836484,32132680,32440173,32759174,33092172,33449089,33826369,34196901,34555450,34922512,35293420,35634265,35962236,36353345,36808500,37294997,37782931,38171901,38454058
Cape Verde,347370,352320,357307,362338,367820,375436,384603,393427,401976,410231,418117,425592,432803,439790,446529,453334,460300,467055,473384,479377,485127,490727,496195,501363,506149,509794,511453,511966,512232,512334,512405,512556,512899,513417,514116,514684,516655
