countries,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Jamaica,2290656,2312124,2329816,2345785,2361922,2379880,2400873,2424697,2449911,2475225,2500152,2524471,2547852,2569741,2589797,2607828,2624409,2640581,2656627,2672226,2687069,2700972,2713809,2725632,2737001,2748573,2760492,2772431,2783689,2793756,2802535,2809919,2815767,2820103,2823275,2830746,2837682
Japan,120832158,121366733,121943589,122476957,122947411,123399767,123889870,124383707,124839954,125286862,125672659,125975305,126265926,126549181,126801566,127027796,127260144,127484599,127671255,127815770,127913331,127997248,128087684,128155991,128192471,128185273,128096431,127928283,127723641,127486600,127275868,127159949,127064685,126913433,126699422,126304536,125679341
Jordan,2778819,2909896,3047635,3193045,3349640,3621916,3915153,4127700,4348018,4561406,4752097,4912518,5046288,5164288,5276452,5386944,5498901,5616078,5741838,5882067,6029597,6427376,6827234,6989874,7141763,7297045,7480430,7587134,7991812,8791715,9544730,10006368,10234227,10462310,10671892,10865231,11066358
Kazakhstan,16031088,16262698,16527719,16781168,16997012,17154060,17278604,17332623,17274487,17043775,16730541,16416036,16043250,15647789,15455878,15501107,15575551,15656677,15747379,15850164,15968118,16103717,16257212,16426527,16619850,16836809,17065997,17306114,17556502,17816285,18084173,18363601,18651930,18932725,19209556,19482117,19743607
Kenya,19201773,19901641,20616091,21356221,22118436,22892657,23646516,24382466,25117193,25857135,26601754,27344212,28101763,28888063,29733411,30642894,31619172,32629809,33652233,34713452,35796483,36904009,38036354,39206349,40408887,41598570,42758466,43888306,44986794,46051441,47088527,48139682,49197760,50207110,51202829,52217327,53219165
Kiribati,66510,68079,69748,71445,73165,74871,76385,77655,78854,80033,81252,82637,84161,85671,87138,88631,90350,92280,94190,96095,98046,100028,102082,104235,106479,108717,110661,112293,113847,115338,116826,118489,120288,122097,123928,126110,128386
Kosovo,,,,,,,,,,,,,,,,,,,,,,,,1800861,1794686,1788755,1791948,1806539,1817170,1808983,1779020,1761766,1768125,1767748,1755048,1751415,1741449
Kuwait,1894254,1972520,2053007,2134707,2217471,1684833,1351404,1634968,1672159,1664372,1681518,1730255,1787692,1844306,1900035,1954713,2008127,2059983,2109887,2157328,2236797,2364741,2507891,2651433,2795490,2943372,3132816,3337025,3507754,3665769,3834464,4003976,4154685,4323388,4442202,4400146,4360749
Kyrgyzstan,,,,,,,,4600309,4626809,4649190,4713639,4782884,4847998,4907792,4968592,5025151,5071961,5116253,5159422,5203048,5246337,5282453,5313373,5342531,5398013,5491763,5594537,5696519,5797296,5898324,6001876,6108460,6220146,6341733,6494036,6664142,6820483
Laos,3739985,3846722,3957624,4072609,4190973,4311960,4435120,4559651,4685063,4809222,4929410,5045686,5152015,5248273,5340784,5431214,5521481,5610889,5697945,5781627,5869531,5963199,6056238,6148974,6241649,6334198,6426595,6518981,6611385,6703170,6801650,6908800,7018149,7128045,7237634,7346533,7453191
Latvia,2579236,2599784,2625969,2652251,2664839,2660130,2648934,2614832,2563820,2521237,2485951,2457910,2433230,2410219,2390825,2368321,2338300,2311356,2288983,2264178,2239787,2219038,2200772,2177711,2142043,2097834,2059940,2034639,2013004,1994153,1977874,1959864,1942599,1927586,1914267,1901119,1885592
Lebanon,3217377,3300373,3385558,3454647,3525288,3595174,3668917,3747374,3820652,3889803,3960741,4034783,4108409,4181287,4255277,4329344,4401921,4463507,4525512,4599286,4671106,4751146,4844118,4925360,4992293,5041290,5096018,5235744,5743440,6346993,6472470,6323062,6160128,5984120,5794600,5702401,5718127
Lesotho,1624382,1666141,1703396,1739848,1775437,1809697,1842383,1873281,1901801,1927709,1951442,1972424,1988139,1998049,2003238,2003918,2000859,1994686,1985060,1971132,1953080,1945066,1953272,1966547,1980885,1996257,2014015,2034363,2056508,2080091,2104613,2130426,2157116,2183612,2209414,2235727,2261549
Liberia,2240550,2308517,2377232,2446941,2517864,2223667,1956523,2072465,2155134,2149928,2169167,2232286,2412994,2670127,2821689,2928117,3015343,3094792,3119533,3156892,3301017,3490792,3669051,3821007,3943036,4058897,4221178,4373045,4470245,4564301,4659438,4755607,4848927,4944727,5043720,5149471,5259326
Libya,3898745,4017404,4129743,4237754,4342927,4445242,4544405,4640358,4733054,4822039,4906851,4987402,5064640,5140710,5218040,5305020,5403637,5508411,5619403,5736696,5858791,5980212,6104379,6235433,6366688,6497838,6343210,6179328,6304636,6427260,6531825,6632129,6738770,6849060,6951038,7045404,7135180
Lithuania,3562393,3593781,3627368,3672653,3696106,3695015,3701409,3697553,3680202,3654893,3627038,3599721,3573418,3547769,3522905,3500410,3473008,3444051,3415276,3376703,3322264,3269809,3231378,3198483,3163258,3097719,3028642,2988334,2958359,2933172,2905772,2869108,2829318,2802484,2795057,2795766,2794489
Luxembourg,366664,368408,370790,373786,377384,381707,386820,391973,397210,402596,408237,413779,418970,424158,429909,436142,441755,446393,451845,458307,465372,472871,480277,488995,498195,507418,518583,530952,543359,556285,569541,583511,596505,608108,620166,630597,640276
Macao,291287,302678,314628,326912,339226,351127,362276,372256,381334,390130,398704,407031,415074,422816,430256,437317,445125,456027,469063,482209,495418,508753,522283,535937,549491,562810,575645,587451,598752,610308,622186,634316,646560,658777,670983,683073,694404
Madagascar,10433143,10736864,11047299,11369461,11705003,12055648,12421413,12800869,13197353,13613859,14051278,14510711,14990817,15489363,16000506,16516337,17032933,17549914,18071858,18606607,19159713,19730918,20318590,20923841,21547277,22183343,22822305,23462444,24109290,24764357,25426704,26099951,26788379,27494930,28219558,28953560,29691087
Malawi,7620509,7906485,8293174,8753264,9176223,9545860,9844228,10135082,10284027,10164900,10150123,10352228,10562035,10792877,11047814,11315946,11593057,11880440,12181575,12500736,12840034,13198700,13576343,13976416,14395788,14826466,15265026,15709576,16161817,16621535,17085585,17557739,18039712,18528087,19025748,19533886,20047263
Malaysia,15252259,15760425,16276735,16796611,17315003,17833178,18342474,18834569,19322667,19820445,20330602,20850085,21375224,21906713,22435533,22967817,23526534,24102479,24679604,25256771,25836073,26417906,26998384,27570054,28124780,28655771,29162033,29662835,30174269,30696133,31232796,31789694,32355642,32910962,33440588,33889555,34282405
Maldives,190182,196946,203960,210899,217750,224772,231809,238559,244892,250831,256659,262355,267713,272736,277423,282025,286780,291631,296497,301414,306431,313865,324488,336178,348282,360801,373682,386822,400079,413623,428165,443316,458297,473107,487737,502127,516162
Mali,8374661,8531272,8681166,8834000,8999935,9178827,9362885,9553541,9754785,9967032,10185367,10407275,10646498,10919578,11227419,11559291,11912162,12288051,12684952,13102414,13538647,13990143,14457777,14940785,15435537,15945201,16469051,16957039,17459621,18020267,18593022,19191297,19813016,20442029,21068406,21713839,22388638
Malta,352567,355082,358089,361226,364530,367913,371335,374806,378221,381467,384559,387627,390687,393782,396896,399905,402788,405572,408236,410800,413323,415463,417201,418969,420800,422652,424634,426616,428457,434494,444979,455273,467902,484559,504017,518213,524383
Martinique,347158,351581,356143,360799,365569,371000,377313,383938,390545,397073,403505,409833,416094,421815,423895,421388,417157,412480,408417,405104,401850,400459,400812,400698,399526,397389,394577,391741,389469,387026,383738,378892,371510,364100,359620,356625,353285
Mauritania,2995,2995,2995,2995,2995,2995,2995,2995,2995,2995,2312027,2358195,2411316,2474650,2541699,2613451,2678767,2738660,2802049,2868671,2939062,3013660,3093064,3183278,3284455,3390967,3502814,3619035,3734324,3848513,3965959,4086656,4210602,4337685,4467714,4600135,4734875
Mauritius,1025067,1038350,1051116,1063596,1075986,1089033,1103050,1117677,1132396,1146559,1159824,1172389,1184305,1195110,1205903,1216632,1225807,1234091,1242094,1249798,1257214,1263786,1269522,1274634,1278977,1282710,1286271,1289174,1290989,1292006,1292282,1291807,1290652,1288835,1286269,1283230,1279627
Mexico,75043416,76585639,78136650,79695527,81247176,82820171,84430563,86044810,87653815,89259202,90862449,92452701,94021205,95575245,97115711,98625554,100099100,101548627,102978518,104394132,105811502,107253666,108774357,110374285,111999721,113623897,115243504,116818209,118343571,119784263,121072310,122251345,123400054,124573714,125762977,126799052,127648152
Moldova,,,,,,,,4455714,4448242,4434460,4414215,4387651,4355536,4318714,4278220,4234970,4189770,4142937,4095419,4046672,3988666,3921319,3851399,3779501,3706211,3631993,3557278,3482629,3408741,3342714,3287169,3237798,3193500,3153779,3112563,3069135,3023780
Mongolia,1921519,1970967,2022803,2076327,2124189,2164578,2202771,2239129,2273514,2305742,2335717,2363470,2389131,2412793,2434044,2455184,2477704,2500075,2521811,2542800,2563466,2584762,2607977,2634431,2665331,2701738,2745182,2795463,2851887,2913041,2976528,3040815,3104371,3167714,3232119,3290788,3339678
Montenegro,,,,,,,,,,,,,,,,,,,,,,633877,633388,632854,632445,632090,632691,633549,633203,631376,628147,624247,620115,615799,611673,607936,603854
Montserrat,11018,10967,10920,10872,10798,10700,10464,10013,9454,8867,8257,7626,6979,6321,5685,5053,4616,4500,4515,4541,4574,4606,4649,4700,4759,4819,4846,4822,4774,4738,4693,4665,4624,4595,4564,4532,4505
Morocco,22113954,22600803,23054390,23500528,23939414,24375558,24799015,25212469,25614587,26000824,26399430,26808109,27213339,27621638,28027189,28423439,28814647,29198146,29571416,29953021,30358145,30771180,31186468,31606768,32030779,32467008,32912586,33355247,33787573,34204783,34607590,35023460,35446396,35839760,36210907,36584208,36954442
Mozambique,12548950,12770581,12822573,12800557,12906843,13094535,13352092,13613316,14051203,15033850,15960528,16492483,16949989,17340462,17734499,18129652,18537734,18958338,19392477,19840311,20304578,20787088,21287638,21819035,22391752,22999235,23649044,24337849,25051613,25788474,26547575,27337109,28166399,29018646,29884376,30783685,31707797
Myanmar,36622832,37314881,37971601,38600927,39214624,39817252,40394159,40950343,41502423,42055150,42605343,43154857,43708802,44257792,44787727,45290851,45771140,46232656,46667190,47068779,47438362,47785142,48125046,48390791,48660458,49024376,49419824,49837450,50262658,50681634,51089060,51495702,51894938,52272246,52640718,53016525,53387102
Namibia,,,,,,1369308,1415689,1461326,1508699,1556315,1602182,1646107,1689275,1732747,1776370,1818651,1857058,1889977,1917468,1942087,1966581,1991889,2018607,2047059,2077400,2109813,2146330,2194657,2252506,2312144,2374305,2439219,2506855,2577327,2650500,2728763,2810553
Nauru,8573,8765,8971,9183,9412,9645,9873,10042,10123,10163,10187,10206,10218,10220,10207,10187,10147,10105,10085,10084,10071,10061,10041,10032,10041,10067,10116,10289,10539,10765,10974,11173,11350,11499,11609,11665,11726
Nepal,17477694,17868128,18250512,18638660,19057812,19524578,20036505,20609707,21180157,21717482,22245442,22741867,23219459,23680357,24125201,24546510,24946755,25328989,25688764,26016653,26309462,26565431,26788499,26990038,27173035,27341955,27464499,27534917,27589997,27672373,27823631,27955471,28011259,28079686,28414066,28966582,29475018
Netherlands,14538958,14626489,14724947,14825916,14921107,15030884,15155091,15276786,15389718,15485453,15565033,15640031,15723620,15827109,15940182,16058758,16182705,16288060,16366914,16425561,16465707,16493851,16531360,16597257,16684147,16771232,16851061,16915191,16967065,17030087,17107427,17204694,17315375,17421284,17537506,17636732,17730564
Netherlands Antilles,179354,181252,183216,185116,186774,188047,188953,189511,189622,189159,188081,186311,183978,181506,179451,178219,177940,178514,179829,181695,183927,186541,189515,192610,195519,198009,198009,198009,198009,198009,198009,198009,198009,198009,198009,198009,198009
New Caledonia,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
New Zealand,3268029,3281510,3299444,3316026,3333821,3396981,3480933,3532245,3573610,3621031,3674435,3729383,3776950,3811377,3835561,3857576,3891763,3951114,4022585,4083911,4135004,4181942,4223268,4261819,4304304,4347767,4382702,4411682,4453859,4522977,4614037,4714768,4812748,4900844,4989412,5069893,5107696
Nicaragua,3706480,3794162,3882168,3972318,4066482,4162566,4259635,4357031,4453733,4549317,4642935,4729979,4809574,4883659,4954021,5022636,5087822,5149914,5210970,5272909,5342108,5418856,5497246,5576597,5656605,5737451,5819054,5901290,5983850,6066491,6149418,6232663,6316236,6400074,6483660,6565267,6644745
Niger,7118458,7335814,7561154,7793752,8034783,8286066,8546899,8817632,9100788,9398265,9714537,10044847,10383977,10741417,11117413,11509635,11920648,12349151,12796980,13265843,13756191,14268583,14803604,15361920,15943673,16548832,17176286,17836770,18519898,19215917,19939497,20685760,21435449,22188074,22947765,23717614,24502144
Nigeria,84897972,87235959,89591718,92020092,94531021,97120926,99720162,102372779,105122075,107935717,110819431,113754782,116754791,119846260,123047322,126382491,129862594,133471994,137202647,141057046,145017255,149077333,153267257,157595017,162049465,166642887,171379601,176200628,181049443,185896917,190671883,195443699,200254578,204938753,209485636,213996186,218529285
Niue,2803,2658,2584,2559,2537,2506,2476,2443,2403,2362,2326,2290,2242,2187,2138,2068,2007,1965,1928,1891,1849,1818,1810,1805,1801,1786,1776,1784,1786,1792,1803,1806,1803,1805,1814,1822,1836
North Korea,19620396,19910856,20205486,20503162,20804364,21112135,21428637,21750912,22073353,22393967,22669306,22895752,23110836,23311570,23497597,23665910,23815363,23943975,24090383,24254945,24396433,24524508,24646384,24764620,24878338,24987258,25097878,25211737,25329455,25451263,25575355,25698325,25817710,25931155,26037633,26136313,26232531
North Macedonia,,,,,,725,725,725,725,725,725,725,725,725,725,725,725,725,725,725,725,725,725,725,2060601,2051510,2040442,2027288,2013280,1997842,1980366,1961268,1940877,1919730,1897643,1872021,1851109
Northern Mariana Islands,30281,33001,35753,38537,41327,43364,44413,45204,45972,46753,48192,51724,56607,61356,65933,68373,68003,66801,65438,63946,62373,60688,58958,57164,55345,54108,53632,53252,52775,52199,51538,50795,49981,49098,48154,47557,47003
Norway,4152401,4167252,4186821,4209471,4226915,4241438,4261618,4286256,4311865,4336467,4358991,4381137,4404986,4431307,4461788,4490866,4513652,4538014,4564666,4591740,4623119,4660485,4709017,4768099,4828624,4889160,4952968,5018456,5080125,5137397,5189776,5235977,5276806,5311751,5347735,5379274,5408081
Oman,1325489,1413425,1501005,1588572,1676234,1763957,1851477,1938241,2021677,2081840,2120531,2156925,2190726,2222494,2252910,2282138,2310221,2337144,2363801,2404822,2459808,2514794,2570176,2626536,2684665,2757451,3076761,3547106,3833915,4002445,4184897,4390880,4537397,4597879,4591247,4522503,4500427
Pakistan,98229291,101606771,105130713,108724741,112336635,116155583,120060408,123546854,127020115,130748078,134582253,138557089,142531801,146522357,150565382,154879124,159270911,163222552,167110250,171285998,175453212,179682692,184493230,189499114,194376535,199239047,203746069,207667129,211073979,214264649,217290885,220138862,223273975,226928893,230800909,235001743,239477805
Palestine,,,,,,,,,,,,,2859582,2962895,3056256,3151801,3242287,3322369,3398072,3475177,3557407,3645096,3736694,3829038,3921243,4016915,4115912,4215318,4315264,4415886,4521566,4632743,4742747,4850593,4957774,5069691,5185341
Panama,2200921,2251329,2301979,2352856,2403820,2455589,2508272,2561345,2615098,2669547,2724552,2780225,2836702,2893916,2951819,3010376,3069545,3129343,3189813,3251157,3313025,3375023,3437493,3500643,3564383,3628537,3693508,3759260,3825332,3892101,3960036,4029085,4098705,4167859,4234699,4293258,4345410
Papua New Guinea,3478945,3554802,3632545,3711894,3796088,3896484,4021839,4166702,4320879,4480210,4644281,4813364,4987889,5166392,5349333,5537068,5728442,5924011,6124004,6328040,6535905,6747723,6963352,7183002,7406442,7633523,7859350,8081396,8302700,8523440,8743247,8961720,9178716,9394519,9609014,9815741,10012899
Paraguay,3510677,3611474,3714893,3820552,3927802,4035749,4144372,4253609,4362705,4471423,4579805,4687540,4794417,4900028,5003139,5100874,5187690,5261335,5326437,5388181,5448102,5505144,5559383,5613576,5671245,5737974,5814634,5897011,5982446,6069816,6159106,6249127,6338656,6427383,6515060,6603742,6684184
Peru,19648210,20117126,20582325,21054704,21532587,22014771,22483787,22946346,23413779,23881497,24348921,24811173,25274149,25738102,26186499,26598327,26964610,27288210,27580485,27852191,28101174,28324489,28530703,28719038,28896818,29086021,29304083,29550366,29817909,30115826,30457600,30866496,31324638,31897590,32449301,32838576,33155883
Philippines,55213007,56645081,58157496,59739056,61265258,62854667,64382249,65926133,67530620,69019296,70546244,72190237,73908814,75791031,77753260,79625402,81401489,83068887,84731838,86394513,88015957,89508993,91075179,92699093,94384256,96337126,98248616,100175512,102076337,103767129,105312986,106735723,108119693,109465284,110804685,112081271,113100946
Poland,37200851,37452612,37665712,37817862,37938087,38055449,38152947,38233632,38294881,38344311,38364668,38359165,38348307,38326432,38287717,38258076,38247357,38229406,38203525,38167567,38124377,38071170,38020420,37995902,38002154,38095356,38208644,38247868,38259266,38265113,38266314,38263259,38254964,38241070,38225884,38171005,38040304
Portugal,9979475,9993098,10001991,10004589,10001379,9989528,9969182,9960345,9972341,9998486,10031755,10067655,10110548,10159524,10214877,10283196,10354328,10413046,10454245,10481384,10502994,10524122,10546821,10564085,10576264,10578659,10557049,10513154,10458286,10406202,10370266,10346377,10330836,10325353,10343218,10370519,10390956
Puerto Rico,38762847,38762847,38762847,38762847,38762847,38762847,38762847,38762847,38762847,38762847,38762847,38762847,38762847,38762847,38762847,3809867,3813009,3810715,3806044,3798658,3788412,3776220,3763089,3749129,3735014,3714835,3683711,3646422,3606771,3565368,3521810,3476008,3371879,3290068,3288026,3275801,3253210
Qatar,365950,382426,397014,411273,425659,440184,454859,469657,484554,499469,514336,529024,550511,580543,612510,644993,677933,711216,744690,773342,825417,972841,1208600,1426942,1586052,1709240,1810958,1907121,2032650,2218377,2427337,2599382,2706715,2761145,2797927,2803373,2814989
Reunion,600420,610888,621111,631264,641494,652574,664460,676431,688098,699372,710464,721457,732714,744075,754118,763147,772242,781308,790570,797012,800228,806686,818731,830496,838473,844480,846788,845062,847599,858677,865016,862861,858761,856946,857327,861452,868084
Romania,22605814,22674739,22745588,22815434,22887645,22939529,22947415,22912388,22842257,22756246,22657724,22541912,22411509,22284900,22166156,22046264,21919917,21770020,21593447,21403214,21213395,21035734,20870714,20718744,20576923,20432576,20282008,20158452,20062914,19968180,19871018,19777049,19689406,19597874,19501543,19392469,19248159
Russia,143569388,144807816,146147382,147364493,148281863,148979538,149448434,148915993,148135419,148200736,148291405,148084580,147853772,147635542,147241973,146717784,146117290,145939502,145794231,145180094,144597888,144102949,143859769,143811835,143869130,143934468,144043751,144291024,144604102,144925638,145307611,145778669,146186800,146430147,146533063,146371293,145836172
Rwanda,6317230,6531887,6749492,6968074,7184710,7375311,7526964,7683265,7981141,6792358,5674118,6708767,7755237,8081685,8147916,8213935,8287093,8400185,8586877,8816848,9054532,9299250,9549940,9804268,10060440,10317559,10573742,10829904,11093340,11364758,11640027,11919183,12202062,12487999,12776104,13065839,13355260
Saint Helena,6678,6706,6723,6710,6677,6639,6601,6545,6495,6433,6373,6309,6249,6184,6113,6045,5963,5879,5775,5678,5570,5457,5346,5295,5320,5352,5385,5428,5462,5493,5529,5544,5528,5507,5485,5451,5415
Saint Kitts and Nevis,41894,41641,41366,41082,40776,40456,40382,40740,41266,41798,42347,42903,43453,44018,44624,45272,45785,46048,46200,46337,46459,46590,46734,46857,46941,46871,46916,47056,47092,47112,47108,47099,47074,47032,46974,46896,46786
Saint Lucia,129175,131253,133241,135019,136526,137873,139535,141629,143736,145902,148227,150453,152584,154689,156719,158624,160246,161654,162985,164250,165461,166657,167767,168815,169880,170920,171813,172595,173380,174145,174919,175652,176352,177032,177674,178261,178540
Saint Pierre and Miquelon,6301,6338,6368,6381,6372,6377,6400,6428,6440,6455,6459,6451,6438,6392,6338,6317,6299,6273,6234,6191,6139,6094,6074,6063,6054,6047,6036,6019,5999,5984,5971,5957,5946,5932,5899,5852,5802
Saint Vincent and the Grenadines,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083
Samoa,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083
Sao Tome and Principe,108669,111161,113934,116955,119991,122993,125711,128128,130478,132744,134905,136974,138934,140765,142456,144028,146384,149931,153823,157720,161650,165651,169711,173808,177867,181811,185665,189452,193157,196780,200306,203702,206986,210198,213404,217449,221975
Saudi Arabia,8151780,8628639,9130205,9629172,10128396,10640698,11160752,11686682,12215865,12750036,13289245,13831002,14374948,14922189,15472075,16177733,17041405,17910909,18786770,19669486,20559884,21459139,22368313,23287883,24217654,25157135,26105636,27062447,28026826,28998127,29974944,30717804,30782402,30365119,30472810,30991205,31328374
Senegal,6683296,6878200,7081535,7289619,7502212,7720523,7943091,8168397,8396290,8624080,8848112,9067018,9283503,9502952,9730897,9968263,10212940,10466217,10721176,10975709,11235473,11500093,11770349,12048962,12337391,12635418,12958902,13310499,13710857,14152101,14593336,15034517,15475001,15914495,16352926,16789215,17220866
Serbia,,,,,,,,,,,,,,,,,,,,,,7511394,7482996,7454285,7425346,7395872,7364857,7324624,7276184,7227203,7177257,7126083,7073508,7020016,6966154,6907817,6835434
Seychelles,69837,70582,71358,72228,73142,74000,74838,75629,76419,77278,78143,78900,79670,80738,82033,83339,84621,85878,87056,88174,89288,90391,91483,92563,93644,94993,97041,99565,102108,104663,107247,109836,112444,115053,117662,120299,123000
Sierra Leone,3638443,3728382,3829719,3934518,4034037,4196833,4246269,4166368,4157128,4173109,4179178,4199214,4253710,4295783,4318048,4423614,4692715,4971436,5177687,5355715,5501707,5624464,5749353,5894728,6055655,6222715,6387259,6551077,6714057,6876384,7037659,7205337,7379300,7554566,7731995,7912558,8094603
Singapore,2735032,2744656,2781625,2849044,2938656,3039593,3136293,3226461,3317893,3417815,3533624,3664566,3796630,3901418,3966562,4035251,4116169,4146898,4138241,4172766,4268361,4407064,4596515,4806742,4968573,5077019,5182242,5293344,5385589,5457899,5525343,5577937,5604087,5634367,5669562,5620150,5546292
Slovakia,5151164,5180090,5205882,5229678,5249932,5266076,5284876,5306445,5326361,5343230,5354287,5362429,5369781,5374801,5378105,5380001,5379439,5377685,5376198,5376039,5376696,5376847,5376995,5379125,5385074,5391857,5398104,5404877,5410422,5415237,5420279,5427262,5435704,5443230,5450626,5455028,5442767
Slovenia,,,,,,1998010,1999192,1995863,1990814,1988260,1988099,1986792,1984399,1980071,1981198,1986818,1989685,1991573,1992502,1993549,1996914,2003113,2014161,2025090,2035611,2044612,2048805,2053321,2056452,2058396,2059947,2061379,2062410,2069484,2083436,2102419,2113495
Solomon Islands,282468,291854,301427,311278,321293,331449,341745,352213,362851,373685,384743,396017,407480,419078,430512,440481,449137,457676,466163,474618,483090,491602,500166,508802,518150,532977,552957,573622,594952,616915,639423,662387,685674,709109,728156,744507,762594
Somalia,6693295,6974789,7228308,7235363,7114828,7082816,6813762,6495109,6681408,7026804,7285014,7554477,7824531,8155414,8492068,8838716,9198496,9550070,9909162,10281000,10644234,10975503,11322582,11663088,11961204,12261762,12348829,12461164,12869599,13339498,13806969,14348740,14916629,15452489,16030969,16651200,17271435
South Africa,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083
South Korea,41148957,41718508,42322092,42922979,43524764,44081425,44439149,44653700,44887722,45130842,45368425,45638701,45941541,46230883,46500382,46766659,47043466,47299118,47514158,47697076,47851646,48006518,48178122,48356486,48546689,48769330,49127641,49599579,50071168,50539055,50983908,51297837,51486268,51640894,51767843,51858480,51848401
South Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,10756244,11166276,11235071,11107569,10830109,10259150,10122983,10423382,10698470,10865786
Spain,38601315,38735706,38852007,38952262,39029556,39084975,39201749,39420344,39651627,39858722,40052733,40237375,40423823,40617436,40812855,41019773,41245604,41755702,42506541,43234563,43958884,44695446,45516501,46235055,46635182,46840470,46998040,47018321,46860393,46720186,46683683,46732766,46868594,47092817,47435120,47679482,47735670
Sri Lanka,15544151,15731253,15916579,16078624,16248559,16352458,16475354,16739297,17025923,17275777,17564066,17905020,18248204,18596005,18944734,19293057,19600360,19805749,19951521,20087608,20216531,20352417,20492546,20629377,20756435,20879090,21009054,21169461,21358829,21547455,21729974,21910764,22087525,22253113,22410552,22561807,22700377
Sudan,19905872,20288246,20704904,21138434,21578025,22021483,22470678,22927356,23445599,24043951,24672143,25231533,25799826,26458999,27130619,27816747,28516774,29228727,29896038,30556639,31262447,31992438,32764139,33623981,34569115,35414403,36140807,36923176,37785854,38823324,40024436,41259893,42714312,44230598,45548178,46789237,48066927
Suriname,386983,392344,396921,402230,408415,412500,415022,417602,419357,422385,429612,438835,448068,457414,466923,476650,486566,496565,506423,513927,519322,525003,531028,537252,543580,549932,556279,562640,569025,575382,581633,587765,593719,599517,605780,612322,617905
Sweden,8350249,8369682,8397651,8436358,8492819,8558569,8616954,8667577,8718036,8780193,8826299,8840329,8845524,8850606,8857691,8872100,8896018,8925044,8958432,8993806,9029770,9080626,9148277,9219903,9298738,9378234,9449262,9519479,9600621,9696437,9799482,9923281,10057864,10175401,10279122,10353680,10416136
Switzerland,6470959,6504748,6545771,6594145,6647786,6713167,6796942,6875049,6938107,6993594,7040481,7071884,7089163,7110294,7144118,7184003,7226391,7278744,7333450,7384196,7431824,7478514,7545386,7641729,7737642,7825751,7914378,7998927,8091197,8190238,8283940,8374902,8453628,8516339,8577526,8640582,8707018
Syria,10625673,11002841,11388916,11782268,12179070,12579212,12980822,13385570,13795689,14208585,14616805,15018110,15417539,15820409,16228063,16637884,17051338,17468335,17889297,18336880,18814088,19637017,20884137,21636565,21976971,22482418,22878103,22759763,21666920,20273662,19424615,19193835,19224670,19577850,20353536,21049428,21628840
Taiwan,19571695,19805980,20015821,20223658,20418913,20594907,20781752,20982087,21174678,21357146,21534498,21709270,21885333,22049226,22203788,22332874,22446254,22566899,22664130,22745433,22824930,22914644,23006921,23086237,23164354,23224047,23273078,23345962,23416869,23472810,23529259,23586141,23632950,23659308,23674137,23663460,23558330
Tajikistan,,,,,,,,5649397,5725001,5825371,5948587,6066524,6139830,6176403,6208372,6284737,6407376,6531672,6658575,6790554,6924723,7057566,7194478,7338403,7490233,7652144,7824785,8014087,8216734,8425558,8643839,8865622,9085943,9307346,9529971,9749310,9966912
Tanzania,22501696,23258959,24030376,24769690,25438760,26110209,26780442,27457597,28332690,29442357,30383497,30945758,31578094,32420462,33300335,34260142,35198302,36121301,37089554,38109667,39182083,40294901,41435509,42570728,43633977,44758489,46029372,47374259,48824134,50351505,52020959,53824011,55652888,57437134,59174889,60972801,62830413
Thailand,50270753,51177832,52074109,52969595,53848956,54738328,55637437,56528829,57408199,58260857,59098229,59920058,60724589,61522633,62299039,63007813,63651139,64266431,64868164,65452051,66017415,66567685,67102389,67619834,68121076,68579442,69007211,69436091,69845115,70216362,70540790,70859837,71160184,71376080,71522265,71641484,71727340
Togo,3441099,3547958,3657512,3769752,3883413,3998757,4115569,4233620,4207462,4222942,4410834,4577864,4725037,4860915,5000270,5140046,5277387,5413282,5552170,5696513,5844638,6010674,6188349,6368821,6551867,6732595,6916477,7100743,7285448,7472458,7663199,7858297,8057139,8258781,8463068,8669722,8878384
